127.0.0.1 | 2026-04-10 23:23:42 | GET /index.html | 200
127.0.0.1 | 2026-04-14 22:36:11 | GET /index.html | 200
127.0.0.1 | 2026-04-14 22:36:11 | GET /favicon.ico | 404
127.0.0.1 | 2026-04-14 22:36:45 | HEAD /index.html | 200
127.0.0.1 | 2026-04-14 22:36:55 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 20:20:51 | GET /status | 200
127.0.0.1 | 2026-04-20 20:21:22 | GET /status | 200
127.0.0.1 | 2026-04-20 20:21:22 | GET /favicon.ico | 404
127.0.0.1 | 2026-04-20 20:21:29 | GET /status | 200
127.0.0.1 | 2026-04-20 20:21:34 | GET /status | 200
127.0.0.1 | 2026-04-20 20:38:55 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 20:38:55 | GET /favicon.ico | 404
127.0.0.1 | 2026-04-20 21:07:21 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:07:33 | GET /test.png | 404
127.0.0.1 | 2026-04-20 21:07:56 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 21:08:04 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 21:08:17 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 21:08:26 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 21:08:39 | HELLO THIS | 404
127.0.0.1 | 2026-04-20 21:08:54 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:08:54 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:00 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:00 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:03 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:03 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:03 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:03 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:03 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:46 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:09:53 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 21:20:39 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:20:39 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 21:20:39 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 21:20:39 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 21:20:39 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 21:20:39 | HELLO THIS | 404
127.0.0.1 | 2026-04-20 21:20:39 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:20:39 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:20:39 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:20:39 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:20:39 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:20:39 | GET /index.html | 200
